filename,emotion,emotion_intensity,statement,repretition,actor_id,gender_int,Average fundamental frequency in voiced segments,Standard deviation of fundamental frequency in Hz,Variablity of fundamental frequency in semitones,Maximum of the fundamental frequency in Hz,Average energy in dB,Standard deviation of energy in dB,Maximum energy,Voiced rate (number of voiced segments per second),Average duration of voiced segments,Standard deviation of duration of voiced segments,Pause rate (number of pauses per second),Average duration of pauses,Standard deviation of duration of pauses ,Average tilt of fundamental frequency,Tilt regularity of fundamental frequency,Mean square error of the reconstructed F0 with a 1-degree polynomial,(Silence duration)/(Voiced+Unvoiced durations),(Voiced duration)/(Unvoiced durations),(Unvoiced duration)/(Voiced+Unvoiced durations),(Voiced duration)/(Voiced+Unvoiced durations),(Voiced duration)/(Silence durations),(Unvoiced duration)/(Silence durations),Unvoiced duration Regularity,Unvoiced energy Regularity,Voiced duration Regularity,Voiced energy Regularity,Pause duration Regularity,Maximum duration of voiced segments,Maximum duration of unvoiced segments,Minimum duration of voiced segments,Minimum duration of unvoiced segments,rate (# of voiced segments) / (# of unvoiced segments),Average tilt of energy contour,Regression coefficient between the energy contour and a linear regression,Mean square error of the reconstructed energy contour with a 1-degree polynomial,Regression coefficient between the F0 contour and a linear regression,Average Delta energy within consecutive voiced segments,Standard deviation of Delta energy within consecutive voiced segments
03-01-05-01-02-01-06,5,1,2,1,6,0,2.733006896972656250e+02,2.497951126098632812e+01,6.804784371582580604e+01,3.325075988769531250e+02,-3.886622766702949150e+01,2.641673612026528772e+01,-6.291116086110635663e+00,1.255580357142857206e+00,2.400000000000000000e+02,1.080123449734643373e+02,1.674107142857142794e+00,3.500000000000000000e+02,3.838619543533846468e+02,-2.627792950161063512e+00,1.407155222600342093e+00,4.836896173806763954e+01,1.071428571428571397e+00,4.090909090909090828e+00,1.964285714285714246e-01,8.035714285714284921e-01,7.500000000000000000e-01,1.833333333333333481e-01,4.716990566028302079e-02,1.288409872672512668e-01,9.994269842776599688e+00,6.785125865013244884e+00,4.099999999999999756e-01,3.500000000000000333e-01,1.300000000000000044e-01,4.000000000000000083e-02,1.000000000000000021e-02,1.250000000000000000e+00,-5.727560559654450850e-02,-2.747973879668437203e-01,4.302774748511515099e+02,5.271776126676706031e-01,1.029728468232322847e+01,7.324881841621255774e-02
03-01-02-02-01-01-06,2,2,1,1,6,0,2.259992523193359375e+02,2.752542304992675781e+01,7.140831141148129291e+01,2.698576660156250000e+02,-4.204114878205208328e+01,2.392300383456602120e+01,-9.581901448334296134e+00,1.255580357142857206e+00,1.900000000000000000e+02,4.966554808583779845e+01,1.674107142857142794e+00,3.600000000000000000e+02,4.217226576791908315e+02,-6.251697165986009885e-01,2.289606190869083457e-01,2.365300181769169541e+01,1.157407407407407440e+00,4.684210526315790268e+00,1.759259259259259300e-01,8.240740740740741810e-01,7.120000000000000773e-01,1.519999999999999962e-01,3.771236166328253286e-02,6.796138609534094210e-02,8.952432080540416948e+00,4.117628412388554260e+00,4.650000000000000244e-01,2.999999999999999889e-01,8.999999999999999667e-02,1.499999999999999944e-01,1.000000000000000021e-02,1.333333333333333259e+00,-2.635770694003610748e-01,-9.707329479585453669e-01,2.646581358899948668e+02,5.450980488016698988e-01,2.313977566794704899e+00,1.386912306217723767e+00
03-01-04-01-02-01-06,4,1,2,1,6,0,2.333181915283203125e+02,2.719833564758300781e+01,7.099439862120036082e+01,2.769953002929687500e+02,-4.317072240198341859e+01,2.814818850125296734e+01,-8.178493503115213059e+00,1.255580357142857206e+00,3.266666666666666856e+02,2.485066509282106892e+02,1.674107142857142794e+00,2.925000000000000000e+02,4.044363361519337445e+02,-8.537301099002472249e-01,5.117889086773332874e-01,1.193676580959979816e+01,7.259259259259259744e-01,6.105263157894736281e+00,1.407407407407407496e-01,8.592592592592592782e-01,1.183673469387755084e+00,1.938775510204081565e-01,3.766629793329841214e-02,2.203406453653070640e-01,1.405153936818994609e+01,3.004945051352131191e+00,0.000000000000000000e+00,6.600000000000000311e-01,1.100000000000000006e-01,1.000000000000000056e-01,1.000000000000000021e-02,1.000000000000000000e+00,-3.506401759382969385e-01,-9.424172002759474420e-01,1.539109882170561150e+02,6.402093985448487068e-01,3.194892798200966055e+00,1.868729630504569528e+00
03-01-05-01-01-01-06,5,1,1,1,6,0,2.540135803222656250e+02,4.508345031738281250e+01,8.949230807764037365e+01,3.478217163085937500e+02,-4.085266058685746060e+01,2.362850792303441594e+01,-7.873654541664030226e+00,1.674107142857142794e+00,1.975000000000000000e+02,1.123332096933048518e+02,2.092633928571428381e+00,2.860000000000000000e+02,4.085878118593358295e+02,-6.016202390698313085e-01,9.229375129839759717e-01,1.983598731424342887e+01,9.016393442622951948e-01,4.809523809523809312e+00,1.721311475409836034e-01,8.278688524590164244e-01,9.181818181818180991e-01,1.909090909090908894e-01,4.602988159880492397e-02,1.632666530556684259e-01,6.934899600919979257e+00,5.084642630534624175e+00,0.000000000000000000e+00,5.100000000000000089e-01,1.300000000000000044e-01,4.000000000000000083e-02,1.000000000000000021e-02,1.250000000000000000e+00,5.414659380663212201e-02,1.946778665489918292e-01,5.074874421798613184e+02,6.522638558178043278e-01,7.738442511385160039e+00,4.926864572715456525e+00
03-01-05-01-02-02-06,5,1,2,2,6,0,2.701748352050781250e+02,2.048210525512695312e+01,6.017469396713555341e+01,3.193444519042968750e+02,-4.150416604540179577e+01,2.775248213294276667e+01,-6.260449777748604561e+00,1.255580357142857206e+00,2.600000000000000000e+02,1.122497216032182337e+02,1.674107142857142794e+00,3.250000000000000000e+02,3.950632860694599913e+02,-1.066489535217179041e+00,7.850425755419422336e-01,5.910709979681949022e+01,1.043859649122806932e+00,1.166666666666666785e+01,7.894736842105261332e-02,9.210526315789473450e-01,8.823529411764706731e-01,7.563025210084033112e-02,2.828427124746190138e-02,1.020722783129680289e-01,1.017206681192720374e+01,5.013348858227090865e+00,4.050000000000000266e-01,3.900000000000000133e-01,7.000000000000000666e-02,1.199999999999999956e-01,1.000000000000000021e-02,1.333333333333333259e+00,-5.283324654957397698e-02,-2.369082683809079493e-01,3.482445369372988466e+02,6.326776456129376003e-01,9.566859924652113989e+00,5.789768826519372524e-01
03-01-08-01-02-02-06,8,1,2,2,6,0,2.331908874511718750e+02,4.992416763305664062e+01,9.402367869954088064e+01,3.371989746093750000e+02,-3.705115197447161535e+01,2.456065298338034353e+01,-7.614761036762835111e+00,8.370535714285713969e-01,1.200000000000000000e+02,5.000000000000000000e+01,1.255580357142857206e+00,3.833333333333333144e+02,4.369846170697036882e+02,-1.932283647090130785e+00,2.827361426129822330e+00,3.071144966872283817e+02,8.064516129032258673e-01,6.750000000000000000e+00,1.290322580645161255e-01,8.709677419354839856e-01,1.080000000000000071e+00,1.600000000000000033e-01,2.999999999999999889e-02,2.113385908914886258e-01,1.372535445071365601e+01,6.672358307470297234e+00,0.000000000000000000e+00,6.300000000000000044e-01,8.999999999999999667e-02,5.999999999999999778e-02,1.000000000000000021e-02,1.250000000000000000e+00,-1.660840203507190638e-01,-7.835960016290880459e-01,3.302686510190270610e+02,5.006182115459447690e-01,2.698942782120634654e+00,2.535560265702440752e+00
03-01-04-02-01-01-06,4,2,1,1,6,0,2.414625549316406250e+02,3.781084823608398438e+01,8.340116286617710273e+01,3.213681335449218750e+02,-3.747268325928771304e+01,2.325219108808701307e+01,-7.479628325920337772e+00,1.255580357142857206e+00,1.266666666666666714e+02,3.091206165165234410e+01,1.674107142857142794e+00,3.775000000000000000e+02,3.972011455169785563e+02,-1.494650071792198442e+00,1.158588217232614292e+00,5.744990978576629459e+01,1.128440366972476960e+00,7.384615384615385025e+00,1.192660550458715524e-01,8.807339449541284893e-01,7.804878048780488076e-01,1.056910569105691117e-01,2.487468592766550052e-02,1.991381430063060842e-01,7.417342346678212905e+00,8.503296808999678547e+00,4.350000000000000533e-01,5.700000000000000622e-01,7.000000000000000666e-02,2.000000000000000042e-02,1.000000000000000021e-02,1.250000000000000000e+00,-2.636255478941028352e-02,-1.585111570007217141e-01,4.256775292669855162e+02,6.046638202457222944e-01,1.171897469316124507e+01,9.850013449623434170e+00
03-01-03-02-01-01-06,3,2,1,1,6,0,2.865417785644531250e+02,3.199841690063476562e+01,7.662197044812874935e+01,3.357780151367187500e+02,-3.817417472681182744e+01,2.476368460873957744e+01,-7.220224651578109665e+00,2.092633928571428381e+00,1.540000000000000000e+02,9.769339793455850440e+01,2.511160714285714413e+00,2.100000000000000000e+02,3.581433604950211702e+02,-1.016758189568076620e-01,1.898804758174563512e+00,2.829334669033727323e+02,7.769230769230769384e-01,7.125000000000000888e+00,1.230769230769230699e-01,8.769230769230770273e-01,1.128712871287128827e+00,1.584158415841584178e-01,1.720465053408525360e-02,4.242640687119285381e-02,5.680423051777255594e+00,5.111751270119218482e+00,0.000000000000000000e+00,2.600000000000000089e-01,5.999999999999999778e-02,1.400000000000000133e-01,1.000000000000000021e-02,1.199999999999999956e+00,-1.044890544462498683e-01,-3.127498525045298017e-01,2.952728100418193549e+02,6.778259609117684992e-01,6.939829168234806112e+00,4.692986111705134356e+00
03-01-03-02-02-02-06,3,2,2,2,6,0,2.449136505126953125e+02,5.985710144042968750e+01,1.003064957593808799e+02,3.198599548339843750e+02,-3.308993500191543546e+01,1.849594800197003508e+01,-6.484625061800896262e+00,2.092633928571428381e+00,1.400000000000000000e+02,8.786353054595517165e+01,2.511160714285714413e+00,2.350000000000000000e+02,3.477906458393229059e+02,-1.787858627032212766e-02,7.084987878589317223e-01,1.117370117116950894e+02,7.709923664122136922e-01,4.038461538461539213e+00,1.984732824427480613e-01,8.015267175572519109e-01,1.039603960396039639e+00,2.574257425742573768e-01,4.445222154178573443e-02,7.974960814950754484e-02,8.403639693066226712e+00,2.859045415700566473e+00,0.000000000000000000e+00,3.200000000000000067e-01,1.199999999999999956e-01,1.199999999999999956e-01,1.000000000000000021e-02,1.000000000000000000e+00,-4.579634347481368328e-01,-9.258419615761818156e-01,6.954349414893412984e+01,6.774076844715609669e-01,1.448687988437944441e-01,3.273522939252959674e-02
03-01-04-02-02-02-06,4,2,2,2,6,0,2.892575073242187500e+02,5.365311050415039062e+01,9.651784122009073030e+01,3.456796569824218750e+02,-3.151253276170091766e+01,2.591129985968325045e+01,-7.872811363985412925e+00,1.674107142857142794e+00,1.200000000000000000e+02,7.842193570679060599e+01,2.092633928571428381e+00,2.380000000000000000e+02,3.594106286686580347e+02,-1.653581179433887050e+00,1.096751928841992241e+00,2.100571749697843416e+02,7.651515151515151381e-01,5.947368421052631859e+00,1.439393939393939226e-01,8.560606060606060774e-01,1.118811881188118917e+00,1.881188118811881194e-01,4.988876515698588421e-02,2.282953131362972232e-01,8.511550020441667641e+00,2.257454649234798882e+00,0.000000000000000000e+00,6.600000000000000311e-01,1.300000000000000044e-01,7.000000000000000666e-02,1.000000000000000021e-02,1.333333333333333259e+00,-1.509193902778927232e-01,-3.047256905163046037e-01,1.325331620002882289e+02,7.189824119491725618e-01,4.014082840508105043e+00,1.994757113701651541e+00
03-01-06-02-02-01-06,6,2,2,1,6,0,2.952384033203125000e+02,3.959917449951171875e+01,8.500124624966706222e+01,3.441252746582031250e+02,-3.462611452168093962e+01,1.904870614672009665e+01,-8.015330255181412511e+00,2.092633928571428381e+00,1.520000000000000000e+02,1.094349121624356087e+02,2.511160714285714413e+00,2.383333333333333428e+02,3.457078085448590059e+02,-1.872137160045506121e+00,1.623385248184272989e+00,2.052095062419103328e+02,1.026315789473684292e+00,5.333333333333333037e+00,1.578947368421052821e-01,8.421052631578948011e-01,8.205128205128204844e-01,1.538461538461538547e-01,3.773592452822641802e-02,7.187952884282608479e-02,8.393495301753656435e+00,1.813139950646667886e+00,4.149999999999999800e-01,2.800000000000000266e-01,1.100000000000000006e-01,7.000000000000000666e-02,1.000000000000000021e-02,1.199999999999999956e+00,-7.923655157781437364e-01,-8.412275641714170860e-01,1.274295468372385365e+01,6.504459377868447856e-01,9.428808702252530205e-01,5.230944926404123008e-01
03-01-07-02-01-01-06,7,2,1,1,6,0,1.911128387451171875e+02,2.167520523071289062e+01,6.213505340152933343e+01,2.274084320068359375e+02,-4.491767404933052887e+01,2.899769690654930088e+01,-1.054653748756751241e+01,1.255580357142857206e+00,6.000000000000000000e+01,2.160246899469286674e+01,1.674107142857142794e+00,4.300000000000000000e+02,4.151505750929414376e+02,-8.109317240254125814e-01,1.887905141560455524e+00,4.749788313819792762e+01,1.709302325581395499e+00,2.909090909090909172e+00,2.558139534883721034e-01,7.441860465116278966e-01,4.353741496598638738e-01,1.496598639455782032e-01,4.642796092394706892e-02,1.392838827718411998e-01,2.307916257087854639e+00,2.599134969858075461e+00,3.950000000000000178e-01,4.000000000000000222e-01,1.199999999999999956e-01,5.999999999999999778e-02,1.000000000000000021e-02,1.333333333333333259e+00,-2.118791693784413954e-01,-4.925633424899231727e-01,2.001237657105523908e+02,5.879774469576575235e-01,4.522989124681988216e+00,1.227717584618645219e+00
03-01-03-01-02-02-06,3,1,2,2,6,0,2.547426910400390625e+02,3.378369140625000000e+01,7.950180509480458113e+01,3.270773620605468750e+02,-4.121344894739892339e+01,2.325608294585055091e+01,-8.593207291086308430e+00,1.255580357142857206e+00,3.000000000000000000e+02,2.237558192911787955e+02,1.674107142857142794e+00,3.125000000000000000e+02,4.089850241757025060e+02,-1.252353751730252540e+00,9.235038522279601647e-01,1.930775608809197053e+01,7.846153846153847145e-01,7.124999999999999112e+00,1.230769230769230976e-01,8.769230769230769162e-01,1.117647058823529216e+00,1.568627450980392135e-01,3.535533905932738280e-02,8.158431221748455031e-02,1.061450783275993714e+01,4.421581532157154548e+00,0.000000000000000000e+00,3.300000000000000155e-01,1.000000000000000056e-01,1.100000000000000006e-01,1.000000000000000021e-02,1.250000000000000000e+00,-2.012239315347074953e-01,-6.291327160014832387e-01,3.433866209241490424e+02,6.377267755287777673e-01,7.668574540900640280e+00,1.877948160371986752e+00
03-01-05-02-01-02-06,5,2,1,2,6,0,2.355975494384765625e+02,7.155332183837890625e+01,1.074864075980776477e+02,3.442123718261718750e+02,-4.203961178814581956e+01,2.300502640943409816e+01,-7.846151933627050212e+00,1.674107142857142794e+00,1.400000000000000000e+02,2.915475947422650549e+01,2.092633928571428381e+00,3.160000000000000000e+02,3.810826681968100047e+02,-8.737707572270512202e+00,8.175378650121443158e+00,1.688619915618539551e+02,1.252427184466019527e+00,2.551724137931034253e+00,2.815533980582524687e-01,7.184466019417475868e-01,5.736434108527131981e-01,2.248062015503876077e-01,4.380353866983808381e-02,2.039607805437114452e-02,4.801411947409111924e+00,2.260878542890998766e+00,4.250000000000000444e-01,1.700000000000000122e-01,1.300000000000000044e-01,1.199999999999999956e-01,1.000000000000000021e-02,1.250000000000000000e+00,-1.875973316847842076e-01,-2.999085804254505994e-01,1.963063927469805776e+02,4.352042797793380102e-01,3.778502614473696397e+00,2.997304570956922376e+00
03-01-02-02-02-02-06,2,2,2,2,6,0,2.139565277099609375e+02,1.745727729797363281e+01,5.464184335700717554e+01,2.526752014160156250e+02,-3.563912965420833245e+01,2.452268790006519339e+01,-8.190674769838429015e+00,8.370535714285713969e-01,3.150000000000000000e+02,1.750000000000000000e+02,1.255580357142857206e+00,4.133333333333333144e+02,4.094169295745135742e+02,-6.098158818113756929e-01,5.829132075435171645e-01,2.468008794642818415e+01,7.333333333333332815e-01,5.136363636363635798e+00,1.629629629629629761e-01,8.370370370370370239e-01,1.141414141414141437e+00,2.222222222222222654e-01,5.312459150169743238e-02,1.481740718059524620e-01,8.370841840339393158e+00,2.388709998264175294e+00,0.000000000000000000e+00,5.100000000000000089e-01,1.400000000000000133e-01,1.700000000000000122e-01,1.000000000000000021e-02,1.000000000000000000e+00,-3.229698871807174521e-01,-9.448678863667180350e-01,1.192815699626686552e+02,6.162276793751825243e-01,4.423537984537635026e+00,0.000000000000000000e+00
03-01-02-02-01-02-06,2,2,1,2,6,0,2.227333374023437500e+02,1.996012115478515625e+01,5.928084917819162314e+01,2.574459228515625000e+02,-3.622224918852000997e+01,2.237619441831163414e+01,-7.475305093293297176e+00,1.255580357142857206e+00,2.000000000000000000e+02,4.320493798938573349e+01,1.674107142857142794e+00,3.725000000000000000e+02,4.090461465409495077e+02,-7.201195106391354850e-01,3.627446874384365194e-01,5.901781937865715477e+00,8.492063492063492980e-01,2.937499999999999556e+00,2.539682539682539542e-01,7.460317460317459348e-01,8.785046728971961372e-01,2.990654205607476412e-01,4.636809247747852164e-02,4.387482193696060767e-02,8.878579301209095220e+00,2.491192484432874110e+00,0.000000000000000000e+00,3.099999999999999978e-01,1.400000000000000133e-01,2.000000000000000111e-01,1.000000000000000021e-02,1.000000000000000000e+00,-4.249676652829724177e-01,-9.469088279361360661e-01,9.096567166646566704e+01,5.488095448646496122e-01,1.382976307879692612e+00,1.380364575181305398e+00
03-01-07-01-02-01-06,7,1,2,1,6,0,2.391524505615234375e+02,1.926527023315429688e+01,5.805401586132424541e+01,2.810170288085937500e+02,-4.169069490187305149e+01,3.133125022788908964e+01,-1.002953229268583435e+01,8.370535714285713969e-01,1.600000000000000000e+02,6.000000000000000000e+01,1.255580357142857206e+00,4.400000000000000000e+02,3.989987468652001326e+02,-3.334340984614082348e+00,3.644668105653947610e+00,1.117914884046289359e+01,1.080357142857142794e+00,1.144444444444444464e+01,8.035714285714284921e-02,9.196428571428570953e-01,8.512396694214876547e-01,7.438016528925620041e-02,1.632993161855452249e-02,2.236487200947056553e-01,8.088729199557866067e+00,1.137387661231661351e+00,3.950000000000000178e-01,6.099999999999999867e-01,5.000000000000000278e-02,2.000000000000000042e-02,1.000000000000000021e-02,1.333333333333333259e+00,-4.036765608712798992e-01,-4.106643841631318348e-01,8.932880540692795535e+01,5.948488810707566188e-01,2.031264992533004410e+00,4.265378545860176729e-02
03-01-07-02-01-02-06,7,2,1,2,6,0,2.692954101562500000e+02,2.932355308532714844e+01,7.359939586654587629e+01,3.413280334472656250e+02,-5.130031856010385383e+01,3.786624366944269582e+01,-8.003632479407770006e+00,8.370535714285713969e-01,2.550000000000000000e+02,3.500000000000000000e+01,1.255580357142857206e+00,4.166666666666666856e+02,4.299095512107426771e+02,-1.155249576194478545e+00,1.210637477278661223e+00,2.642514633698275475e+02,7.727272727272727071e-01,5.947368421052631859e+00,1.439393939393939226e-01,8.560606060606060774e-01,1.107843137254902022e+00,1.862745098039215730e-01,4.988876515698588421e-02,1.319932658214888754e-01,5.626235752421559155e+00,2.312670503217693962e+00,0.000000000000000000e+00,5.500000000000000444e-01,1.300000000000000044e-01,2.300000000000000100e-01,1.000000000000000021e-02,1.000000000000000000e+00,2.376515717303661346e-01,6.731317593022372314e-01,4.745327790375390578e+02,6.863043712327592250e-01,5.534634358850992086e+00,0.000000000000000000e+00
03-01-02-01-02-01-06,2,1,2,1,6,0,2.059325103759765625e+02,1.614645957946777344e+01,5.093918638079269101e+01,2.388088684082031250e+02,-2.887702836069826517e+01,2.107510200001491185e+01,-7.039382721894984485e+00,8.370535714285713969e-01,2.400000000000000000e+02,1.600000000000000000e+02,1.255580357142857206e+00,3.800000000000000000e+02,3.774475681027321343e+02,-1.208965898620512069e+00,1.239703523325187629e+00,1.085316631569785883e+01,6.478873239436618858e-01,6.100000000000000533e+00,1.408450704225352179e-01,8.591549295774648654e-01,1.326086956521739246e+00,2.173913043478260809e-01,6.018490028422596172e-02,2.327134623427608295e-01,1.097481984953564549e+01,1.536836219283255422e+00,0.000000000000000000e+00,6.900000000000000577e-01,1.499999999999999944e-01,1.199999999999999956e-01,1.000000000000000021e-02,1.000000000000000000e+00,-4.657976541164839945e-01,-8.767393794717582844e-01,4.944210088189148422e+01,6.427954247548328670e-01,8.222014036429925454e-02,0.000000000000000000e+00
03-01-02-01-01-01-06,2,1,1,1,6,0,2.105076446533203125e+02,2.534358215332031250e+01,6.854884862569613801e+01,2.548537750244140625e+02,-4.374441978268401954e+01,2.828683635684121711e+01,-7.617273759627703811e+00,1.255580357142857206e+00,1.400000000000000000e+02,3.741657386773941596e+01,1.674107142857142794e+00,3.525000000000000000e+02,4.318202751145435059e+02,-6.778882625210089774e-01,3.764511050145737947e-01,1.592063962463235249e+01,8.790322580645162365e-01,4.636363636363636687e+00,1.774193548387096586e-01,8.225806451612903691e-01,9.357798165137614088e-01,2.018348623853210566e-01,2.958039891549807746e-02,1.323820229487372713e-01,9.195637495560276875e+00,4.192039888660924696e+00,0.000000000000000000e+00,4.799999999999999822e-01,8.999999999999999667e-02,1.499999999999999944e-01,1.000000000000000021e-02,1.000000000000000000e+00,-2.443579684524187778e-01,-9.162139623412083322e-01,2.084686775140117163e+02,6.550881960510851476e-01,1.675817615433325969e+00,8.311269755817196625e-01
03-01-08-01-01-02-06,8,1,1,2,6,0,2.276577911376953125e+02,4.381904220581054688e+01,8.850734852279447296e+01,3.323439636230468750e+02,-5.062000815276871180e+01,3.474290810242722216e+01,-7.472090242968480567e+00,1.674107142857142794e+00,1.650000000000000000e+02,1.033198915988591295e+02,2.092633928571428381e+00,2.480000000000000000e+02,3.861295119516248633e+02,-4.123648889795398786e-01,6.000452870617183798e+00,3.707948586759422369e+02,8.225806451612903691e-01,7.857142857142858539e+00,1.129032258064515959e-01,8.870967741935484874e-01,1.078431372549019773e+00,1.372549019607842979e-01,1.326649916142159935e-02,1.935343782265971369e-01,1.209938831425249006e+01,6.743340928332695938e+00,0.000000000000000000e+00,6.099999999999999867e-01,5.000000000000000278e-02,2.999999999999999889e-02,1.000000000000000021e-02,1.199999999999999956e+00,-1.436887881953724522e-01,-5.673546258849293533e-01,4.435897757752683788e+02,5.825028969337719964e-01,8.345011934008795151e+00,6.653911624464504904e+00
03-01-08-01-02-01-06,8,1,2,1,6,0,2.344506072998046875e+02,5.081298446655273438e+01,9.463469057138898677e+01,3.440931091308593750e+02,-4.436736496993725609e+01,2.830568985489981060e+01,-7.095038834143188033e+00,1.674107142857142794e+00,2.050000000000000000e+02,1.532155344604456388e+02,2.092633928571428381e+00,2.480000000000000000e+02,3.879896905846854906e+02,-2.889855470943575089e+00,2.714451280410750567e+00,3.996727020701328570e+02,8.160000000000000586e-01,5.578947368421053099e+00,1.519999999999999962e-01,8.480000000000000870e-01,1.039215686274509887e+00,1.862745098039215730e-01,3.709447398198281731e-02,1.292130024417047773e-01,1.433678096877051011e+01,2.422066350848118610e+00,0.000000000000000000e+00,4.600000000000000200e-01,1.100000000000000006e-01,8.999999999999999667e-02,1.000000000000000021e-02,1.000000000000000000e+00,-3.931397634610502845e-01,-6.733145669042793768e-01,1.512038707345708985e+02,5.573877307462199449e-01,3.537302221779913936e+00,2.639502351048026441e+00
03-01-01-01-01-01-06,1,1,1,1,6,0,2.349893035888671875e+02,3.642089080810546875e+01,8.210434673603704425e+01,3.110773010253906250e+02,-4.171509755145498843e+01,2.650949061093841763e+01,-9.031989467199538879e+00,1.255580357142857206e+00,2.866666666666666856e+02,2.713341523329162897e+02,1.674107142857142794e+00,3.025000000000000000e+02,4.434735054092859627e+02,-1.002941309268448045e+00,1.543975085699468286e+00,4.185923840900959192e+01,9.059829059829058728e-01,9.636363636363634910e+00,9.401709401709401615e-02,9.059829059829058728e-01,1.000000000000000000e+00,1.037735849056603821e-01,7.483314773547881590e-03,2.261022384281549391e-01,8.719225687871913877e+00,2.196615607455389974e+00,0.000000000000000000e+00,6.700000000000000400e-01,2.999999999999999889e-02,2.000000000000000042e-02,1.000000000000000021e-02,1.199999999999999956e+00,-6.679536578336007224e-01,-8.591262688965218830e-01,4.727148836319364733e+01,5.104087657965732383e-01,1.975891981081629778e+00,1.558505378456720658e+00
03-01-07-01-01-02-06,7,1,1,2,6,0,2.453312225341796875e+02,1.930931472778320312e+01,5.813308487735048402e+01,2.984914855957031250e+02,-4.266861300618975150e+01,2.775541746795740394e+01,-7.507567177820414273e+00,1.674107142857142794e+00,1.150000000000000000e+02,4.716990566028301402e+01,2.092633928571428381e+00,3.220000000000000000e+02,4.431433176749932272e+02,-1.276241738632328815e+00,8.815382014960307933e-01,4.782361406111530044e+01,1.678160919540229834e+00,5.214285714285713524e+00,1.609195402298850830e-01,8.390804597701149170e-01,5.000000000000000000e-01,9.589041095890411814e-02,2.624669291337270588e-02,2.947456530637898239e-02,6.020149575110986362e+00,3.214996097761416483e+00,4.599999999999999645e-01,2.099999999999999922e-01,7.000000000000000666e-02,1.400000000000000133e-01,1.000000000000000021e-02,1.333333333333333259e+00,1.293130165052119307e-01,3.718499147945095173e-01,4.116851503207685141e+02,5.311827359758934941e-01,4.741814895442047373e+00,4.332274699246116967e+00
03-01-06-01-02-01-06,6,1,2,1,6,0,2.763196411132812500e+02,2.734551048278808594e+01,7.118125358088161647e+01,3.227406616210937500e+02,-3.676895850064556015e+01,2.496885135671577771e+01,-7.229610390879725124e+00,1.255580357142857206e+00,3.266666666666666856e+02,2.131248981752770817e+02,1.674107142857142794e+00,3.125000000000000000e+02,3.980185297194088889e+02,-9.411819612322460671e-01,1.372283895626288386e+00,2.119297851662294363e+02,7.388059701492535325e-01,9.307692307692308376e+00,9.701492537313430309e-02,9.029850746268656136e-01,1.222222222222222321e+00,1.313131313131313260e-01,5.500000000000000028e-02,2.616653396993954273e-01,2.245544129620580520e+01,6.854373506144979977e+00,0.000000000000000000e+00,6.500000000000000222e-01,1.199999999999999956e-01,2.999999999999999889e-02,1.000000000000000021e-02,2.000000000000000000e+00,-4.671593234838787578e-02,-2.864031435767754319e-01,3.897493331204020706e+02,6.676581004338104641e-01,8.757271129149446054e+00,6.999692335967328205e+00
03-01-08-02-02-01-06,8,2,2,1,6,0,2.127750091552734375e+02,5.609495162963867188e+01,9.805886024213700125e+01,3.364318237304687500e+02,-4.053586850113987339e+01,2.592305923013305247e+01,-8.831270001475516551e+00,1.674107142857142794e+00,2.150000000000000000e+02,1.844586674569671345e+02,2.092633928571428381e+00,2.580000000000000000e+02,3.636151812012254823e+02,-2.379230436158417117e+00,5.961223199458297373e+00,1.388396883706428753e+02,7.424242424242425420e-01,3.124999999999999112e+00,2.424242424242425142e-01,7.575757575757575690e-01,1.020408163265305923e+00,3.265306122448980441e-01,4.496912521077347374e-02,5.674864018868915755e-02,1.025491666490150244e+01,3.283985402375429796e+00,0.000000000000000000e+00,2.600000000000000089e-01,1.300000000000000044e-01,8.000000000000000167e-02,1.000000000000000021e-02,1.166666666666666741e+00,-4.289087403625774786e-01,-7.042650211509690061e-01,1.493726206402031664e+02,6.721837854477200613e-01,3.822348333686298449e+00,2.262923140401279287e+00
03-01-06-01-01-02-06,6,1,1,2,6,0,2.496927032470703125e+02,3.227104568481445312e+01,7.691572555108047027e+01,3.129311523437500000e+02,-3.513433161645134817e+01,2.174270961383483680e+01,-7.733208324255733679e+00,1.674107142857142794e+00,1.750000000000000000e+02,1.186381051770467252e+02,2.092633928571428381e+00,2.760000000000000000e+02,3.993294379331430832e+02,-1.241372919579954326e+00,4.275988910984295899e+00,7.443783736777619708e+01,8.480000000000000870e-01,6.812500000000000000e+00,1.280000000000000027e-01,8.720000000000001084e-01,1.028301886792452935e+00,1.509433962264150886e-01,1.247219128924647105e-02,1.207499712445330303e-01,9.975168179369976684e+00,1.831496288970513531e+00,0.000000000000000000e+00,4.199999999999999845e-01,4.000000000000000083e-02,5.000000000000000278e-02,1.000000000000000021e-02,1.000000000000000000e+00,-1.091515104590621843e-01,-1.170556534761944129e-01,2.355834240906009143e+02,6.616406357051516363e-01,3.344146274087238080e+00,9.726168184383997550e-01
